latitude,longitude,date,confidence
-28.0887,131.6536,1/10/2019,93
-28.0719,131.6548,1/10/2019,94
-28.0841,131.6592,1/10/2019,98
-28.2681,128.5541,1/10/2019,100
-28.2703,128.5789,1/10/2019,90
-29.1135,123.0008,1/10/2019,100
-37.6569,141.2922,1/10/2019,90
-37.1392,141.1278,1/10/2019,91
-34.2189,142.3039,1/10/2019,99
-28.0909,131.664,1/10/2019,100
-28.0805,131.6625,1/10/2019,100
-28.3197,128.4998,1/10/2019,100
-28.3176,128.5222,1/10/2019,90
-16.9448,143.2397,1/10/2019,94
-15.4826,129.9569,1/10/2019,100
-15.4812,129.9679,1/10/2019,100
-15.491,129.9693,1/10/2019,100
-15.4992,129.9819,1/10/2019,95
-14.9444,133.9295,1/10/2019,93
-15.509,129.9833,1/10/2019,95
-14.9564,133.9116,1/10/2019,94
-16.6143,124.7793,1/10/2019,100
-16.6151,124.784,1/10/2019,100
-16.6762,124.7658,1/10/2019,100
-16.6733,124.7922,1/10/2019,100
-16.6909,124.7673,1/10/2019,98
-16.6879,124.794,1/10/2019,100
-16.7055,124.7684,1/10/2019,97
-16.7202,124.7698,1/10/2019,97
-16.7171,124.7971,1/10/2019,91
-16.6777,124.7729,1/10/2019,100
-16.6751,124.7991,1/10/2019,97
-16.6924,124.7743,1/10/2019,100
-16.6896,124.801,1/10/2019,100
-16.707,124.7757,1/10/2019,100
-16.7217,124.777,1/10/2019,100
-15.4749,134.5035,1/10/2019,100
-15.4734,134.5135,1/10/2019,92
-16.7364,124.7784,1/10/2019,100
-15.5054,134.3651,1/10/2019,100
-15.5039,134.375,1/10/2019,94
-15.4843,134.505,1/10/2019,96
-15.4827,134.5151,1/10/2019,100
-15.4797,134.5353,1/10/2019,97
-15.4781,134.5454,1/10/2019,93
-15.5132,134.3766,1/10/2019,94
-15.5117,134.3865,1/10/2019,94
-15.5087,134.4064,1/10/2019,96
-15.4813,134.5873,1/10/2019,100
-15.4798,134.5974,1/10/2019,100
-15.4783,134.6076,1/10/2019,100
-15.521,134.388,1/10/2019,100
-15.506,134.4879,1/10/2019,100
-15.5044,134.4979,1/10/2019,100
